borrower_name,industry,classification_risk_score,macro_risk_score,bottom_up_risk_score,final_industry_risk_score,risk_level
Health Care & Social Assistance Archetype,Health Care and Social Assistance,3.75,2.8,2.33,2.97,Medium
"Professional, Scientific And Technical Services Archetype","Professional, Scientific And Technical Services",3.0,3.2,2.33,2.83,Medium
"Agriculture, Forestry And Fishing Archetype","Agriculture, Forestry And Fishing",2.75,3.4,2.33,2.8,Medium
Manufacturing Archetype,Manufacturing,2.75,3.4,2.33,2.8,Medium
Retail Trade Archetype,Retail Trade,2.5,3.4,2.33,2.71,Medium
Wholesale Trade Archetype,Wholesale Trade,2.25,3.2,2.33,2.56,Medium
Accommodation And Food Services Archetype,Accommodation And Food Services,2.5,2.6,2.33,2.47,Medium
Construction Archetype,Construction,2.0,2.8,2.33,2.36,Medium
"Transport, Postal And Warehousing Archetype","Transport, Postal And Warehousing",1.75,2.2,2.33,2.09,Medium
