industry,risk_level,industry_base_risk_score,concentration_limit_pct,current_exposure_pct,headroom_pct,breach,utilisation_pct
Accommodation And Food Services,Medium,2.54,20.0,6.7,13.3,False,33.5
"Agriculture, Forestry And Fishing",Elevated,3.04,15.0,3.6,11.4,False,24.0
Construction,Medium,2.36,20.0,16.0,4.0,False,80.0
Health Care and Social Assistance,Elevated,3.32,15.0,9.8,5.199999999999999,False,65.3
Manufacturing,Elevated,3.04,15.0,12.6,2.4000000000000004,False,84.0
"Professional, Scientific And Technical Services",Elevated,3.09,15.0,10.8,4.199999999999999,False,72.0
Retail Trade,Medium,2.9,20.0,17.0,3.0,False,85.0
"Transport, Postal And Warehousing",Low,1.95,25.0,6.8,18.2,False,27.2
Wholesale Trade,Medium,2.68,20.0,16.7,3.3000000000000007,False,83.5
