anzsic_division_code,industry,classification_risk_score,macro_risk_score,industry_base_risk_score,industry_base_risk_level,pd_multiplier,cash_rate_latest_pct,cash_rate_change_1y_pctpts,as_of_date
A,"Agriculture, Forestry and Fishing",4.12,3.2,3.71,Elevated,1.15,4.35,0.5,2026-06-16
B,Mining,3.88,2.8,3.39,Elevated,1.15,4.35,0.5,2026-06-16
C,Manufacturing,3.5,3.2,3.36,Elevated,1.15,4.35,0.5,2026-06-16
D,"Electricity, Gas, Water and Waste Services",2.25,2.0,2.14,Medium,1.0,4.35,0.5,2026-06-16
E,Construction,2.75,2.6,2.68,Medium,1.0,4.35,0.5,2026-06-16
F,Wholesale Trade,3.12,3.2,3.16,Moderate-high,1.1,4.35,0.5,2026-06-16
G,Retail Trade,3.25,3.2,3.23,Elevated,1.15,4.35,0.5,2026-06-16
H,Accommodation and Food Services,2.75,2.6,2.68,Medium,1.0,4.35,0.5,2026-06-16
I,"Transport, Postal and Warehousing",2.5,2.8,2.64,Medium,1.0,4.35,0.5,2026-06-16
J,Information Media and Telecommunications,2.12,3.0,2.52,Medium,1.0,4.35,0.5,2026-06-16
L,"Rental, Hiring and Real Estate Services",2.38,2.6,2.48,Medium,1.0,4.35,0.5,2026-06-16
M,"Professional, Scientific and Technical Services",1.75,2.4,2.04,Medium,1.0,4.35,0.5,2026-06-16
N,Administrative and Support Services,2.12,2.8,2.43,Medium,1.0,4.35,0.5,2026-06-16
O,Public Administration and Safety,1.62,3.6,2.51,Medium,1.0,4.35,0.5,2026-06-16
P,Education and Training,1.75,3.4,2.49,Medium,1.0,4.35,0.5,2026-06-16
Q,Health Care and Social Assistance,1.5,2.8,2.08,Medium,1.0,4.35,0.5,2026-06-16
R,Arts and Recreation Services,2.38,3.8,3.02,Moderate-high,1.1,4.35,0.5,2026-06-16
S,Other Services,2.38,2.2,2.3,Medium,1.0,4.35,0.5,2026-06-16
