industry,trigger,value,recommended_action
"Agriculture, Forestry And Fishing",Negative employment growth,-5.1%,Review sector exposure and borrower performance
"Agriculture, Forestry And Fishing",Declining margin trend,Margin trend score = 5,Request updated financials from borrowers in this sector
"Agriculture, Forestry And Fishing",Elevated base risk score,Base score = 3.50,Tighten new lending criteria; escalate to credit committee
"Agriculture, Forestry And Fishing",Extreme signal - Employment,employment_score = 5,Investigate employment driver; consider watchlist placement
"Agriculture, Forestry And Fishing",Extreme signal - Margin Trend,margin_trend_score = 5,Investigate margin trend driver; consider watchlist placement
Health Care and Social Assistance,Declining margin trend,Margin trend score = 5,Request updated financials from borrowers in this sector
Health Care and Social Assistance,Extreme signal - Margin Trend,margin_trend_score = 5,Investigate margin trend driver; consider watchlist placement
Manufacturing,Negative employment growth,-0.9%,Review sector exposure and borrower performance
Manufacturing,Elevated base risk score,Base score = 3.50,Tighten new lending criteria; escalate to credit committee
Manufacturing,Extreme signal - Employment,employment_score = 5,Investigate employment driver; consider watchlist placement
"Professional, Scientific And Technical Services",Declining margin trend,Margin trend score = 4,Request updated financials from borrowers in this sector
Retail Trade,Negative employment growth,-0.5%,Review sector exposure and borrower performance
Retail Trade,Extreme signal - Employment,employment_score = 5,Investigate employment driver; consider watchlist placement
Retail Trade,Extreme signal - Margin Level,margin_level_score = 5,Investigate margin level driver; consider watchlist placement
Wholesale Trade,Negative employment growth,-8.7%,Review sector exposure and borrower performance
Wholesale Trade,Extreme signal - Employment,employment_score = 5,Investigate employment driver; consider watchlist placement
Wholesale Trade,Extreme signal - Margin Level,margin_level_score = 5,Investigate margin level driver; consider watchlist placement
