segment,scenario,pd_multiplier,lgd_multiplier,ead_multiplier
residential_mortgages,base,1.0,1.0,1.0
residential_mortgages,mild,1.4129,1.1523,1.0649
residential_mortgages,moderate,1.8357,1.2936,1.1291
residential_mortgages,severe,2.35,1.48,1.2
credit_cards,base,1.0,1.0,1.0
credit_cards,mild,1.4906,1.1267,1.0786
credit_cards,moderate,1.9886,1.2535,1.1533
credit_cards,severe,2.65,1.42,1.24
sme_lending,base,1.0,1.0,1.0
sme_lending,mild,1.5241,1.1521,1.0906
sme_lending,moderate,2.0259,1.3053,1.1757
sme_lending,severe,2.65,1.54,1.28
corporate_lending,base,1.0,1.0,1.0
corporate_lending,mild,1.4823,1.1549,1.0913
corporate_lending,moderate,1.9307,1.3156,1.177
corporate_lending,severe,2.5,1.54,1.28
commercial_property,base,1.0,1.0,1.0
commercial_property,mild,1.5409,1.18,1.0968
commercial_property,moderate,2.127,1.3973,1.1958
commercial_property,severe,2.95,1.72,1.32
development_finance,base,1.0,1.0,1.0
development_finance,mild,1.6664,1.195,1.1116
development_finance,moderate,2.3292,1.4273,1.2219
development_finance,severe,3.25,1.78,1.36
